Energy (MeV)	Air (MeV cm^2/g)	Mylar (MeV cm^2/g)
1.00E-03	2.22E+02	3.46E+02
1.50E-03	2.34E+02	3.63E+02
2.00E-03	2.44E+02	3.77E+02
2.50E-03	2.54E+02	3.90E+02
3.00E-03	2.62E+02	4.02E+02
4.00E-03	2.78E+02	4.23E+02
5.00E-03	2.94E+02	4.44E+02
6.00E-03	3.08E+02	4.63E+02
7.00E-03	3.23E+02	4.82E+02
8.00E-03	3.36E+02	4.99E+02
9.00E-03	3.50E+02	5.16E+02
1.00E-02	3.63E+02	5.33E+02
1.25E-02	3.93E+02	5.71E+02
1.50E-02	4.23E+02	6.07E+02
1.75E-02	4.50E+02	6.41E+02
2.00E-02	4.77E+02	6.72E+02
2.25E-02	5.02E+02	7.02E+02
2.50E-02	5.26E+02	7.31E+02
2.75E-02	5.49E+02	7.58E+02
3.00E-02	5.72E+02	7.84E+02
3.50E-02	6.15E+02	8.34E+02
4.00E-02	6.56E+02	8.80E+02
4.50E-02	6.94E+02	9.23E+02
5.00E-02	7.31E+02	9.64E+02
5.50E-02	7.66E+02	1.00E+03
6.00E-02	8.00E+02	1.04E+03
6.50E-02	8.32E+02	1.08E+03
7.00E-02	8.64E+02	1.11E+03
7.50E-02	8.94E+02	1.14E+03
8.00E-02	9.23E+02	1.17E+03
8.50E-02	9.51E+02	1.20E+03
9.00E-02	9.79E+02	1.23E+03
9.50E-02	1.01E+03	1.26E+03
1.00E-01	1.03E+03	1.29E+03
1.25E-01	1.15E+03	1.41E+03
1.50E-01	1.26E+03	1.51E+03
1.75E-01	1.35E+03	1.60E+03
2.00E-01	1.44E+03	1.68E+03
2.25E-01	1.51E+03	1.75E+03
2.50E-01	1.58E+03	1.81E+03
2.75E-01	1.64E+03	1.87E+03
3.00E-01	1.70E+03	1.91E+03
3.50E-01	1.79E+03	1.99E+03
4.00E-01	1.87E+03	2.05E+03
4.50E-01	1.92E+03	2.09E+03
5.00E-01	1.96E+03	2.11E+03
5.50E-01	1.99E+03	2.13E+03
6.00E-01	2.01E+03	2.14E+03
6.50E-01	2.02E+03	2.14E+03
7.00E-01	2.02E+03	2.13E+03
7.50E-01	2.02E+03	2.12E+03
8.00E-01	2.01E+03	2.10E+03
8.50E-01	1.99E+03	2.08E+03
9.00E-01	1.97E+03	2.06E+03
9.50E-01	1.95E+03	2.04E+03
1.00E+00	1.92E+03	2.02E+03
1.25E+00	1.78E+03	1.88E+03
1.50E+00	1.63E+03	1.73E+03
1.75E+00	1.50E+03	1.60E+03
2.00E+00	1.38E+03	1.48E+03
2.25E+00	1.29E+03	1.38E+03
2.50E+00	1.21E+03	1.29E+03
2.75E+00	1.13E+03	1.22E+03
3.00E+00	1.07E+03	1.15E+03
3.50E+00	9.69E+02	1.04E+03
4.00E+00	8.87E+02	9.49E+02
4.50E+00	8.19E+02	8.76E+02
5.00E+00	7.61E+02	8.14E+02
5.50E+00	7.12E+02	7.62E+02
6.00E+00	6.70E+02	7.17E+02
6.50E+00	6.33E+02	6.77E+02
7.00E+00	6.01E+02	6.42E+02
7.50E+00	5.72E+02	6.11E+02
8.00E+00	5.46E+02	5.83E+02
8.50E+00	5.22E+02	5.58E+02
9.00E+00	5.01E+02	5.35E+02
9.50E+00	4.82E+02	5.14E+02
1.00E+01	4.64E+02	4.95E+02
1.25E+01	3.93E+02	4.19E+02
1.50E+01	3.43E+02	3.65E+02
1.75E+01	3.05E+02	3.24E+02
2.00E+01	2.75E+02	2.92E+02
2.50E+01	2.31E+02	2.45E+02
2.75E+01	2.14E+02	2.28E+02
3.00E+01	2.00E+02	2.12E+02
3.50E+01	1.77E+02	1.88E+02
4.00E+01	1.59E+02	1.69E+02
4.50E+01	1.45E+02	1.54E+02
5.00E+01	1.33E+02	1.41E+02
5.50E+01	1.23E+02	1.31E+02
6.00E+01	1.15E+02	1.22E+02
6.50E+01	1.08E+02	1.14E+02
7.00E+01	1.02E+02	1.08E+02
7.50E+01	9.61E+01	1.02E+02
8.00E+01	9.12E+01	9.65E+01
8.50E+01	8.69E+01	9.18E+01
9.00E+01	8.30E+01	8.77E+01
9.50E+01	7.94E+01	8.39E+01
1.00E+02	7.62E+01	8.05E+01
1.25E+02	6.36E+01	6.72E+01
1.50E+02	5.50E+01	5.80E+01
1.75E+02	4.86E+01	5.13E+01
2.00E+02	4.37E+01	4.61E+01
2.25E+02	3.98E+01	4.20E+01
2.50E+02	3.67E+01	3.87E+01
2.75E+02	3.41E+01	3.59E+01
3.00E+02	3.19E+01	3.36E+01
3.50E+02	2.83E+01	2.99E+01
4.00E+02	2.56E+01	2.70E+01
4.50E+02	2.35E+01	2.48E+01
5.00E+02	2.18E+01	2.30E+01
5.50E+02	2.04E+01	2.15E+01
6.00E+02	1.92E+01	2.02E+01
6.50E+02	1.82E+01	1.91E+01
7.00E+02	1.73E+01	1.82E+01
7.50E+02	1.65E+01	1.74E+01
8.00E+02	1.58E+01	1.67E+01
8.50E+02	1.52E+01	1.60E+01
9.00E+02	1.47E+01	1.55E+01
9.50E+02	1.42E+01	1.50E+01
1.00E+03	1.38E+01	1.45E+01
